               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              2.3706,              5.3022,              1.8577,             0.69909,             0.30134,             0.35273,             0.15168,                   0,                   0,                   0,            0.070882,           0.0032353,           0.0032353
                   1,              2.2149,              3.5385,              1.7933,             0.60753,             0.48518,             0.43713,               0.179,                   0,                   0,                   0,            0.040817,           0.0065036,           0.0065036
                   2,              2.1625,              3.6046,              1.7035,             0.34475,             0.38591,             0.33044,             0.15665,                   0,                   0,                   0,            0.010686,           0.0097059,           0.0097059
                   3,              2.1632,              3.5386,              1.6479,             0.63953,             0.40868,             0.35873,             0.16696,                   0,                   0,                   0,            0.009703,            0.009703,            0.009703
                   4,              2.1186,               3.609,              1.6804,             0.55607,             0.35347,             0.36722,             0.17047,                   0,                   0,                   0,            0.009703,            0.009703,            0.009703
                   5,              2.0445,              3.2955,              1.6285,             0.59899,             0.36767,             0.37759,             0.17142,                   0,                   0,                   0,            0.009604,            0.009604,            0.009604
                   6,               2.176,               3.064,              1.6741,             0.55038,             0.35752,              0.3397,             0.13579,                   0,                   0,                   0,            0.009505,            0.009505,            0.009505
                   7,              2.1867,              2.8395,              1.6798,             0.45269,             0.53427,             0.47537,             0.16623,                   0,                   0,                   0,            0.009406,            0.009406,            0.009406
                   8,              2.1226,              2.6241,              1.6554,              0.3696,             0.55628,             0.47013,             0.17493,                   0,                   0,                   0,            0.009307,            0.009307,            0.009307
                   9,              2.1496,              2.6171,              1.6464,             0.48423,             0.47574,             0.46997,             0.18487,                   0,                   0,                   0,            0.009208,            0.009208,            0.009208
                  10,              2.1405,              2.4038,              1.6629,             0.50915,             0.49467,             0.45945,             0.19149,                   0,                   0,                   0,            0.009109,            0.009109,            0.009109
                  11,              2.1421,              2.3145,              1.6496,              0.6908,             0.36076,             0.41756,              0.1759,                   0,                   0,                   0,             0.00901,             0.00901,             0.00901
                  12,              2.1291,               2.253,               1.616,             0.62226,              0.4266,             0.48816,             0.22278,                   0,                   0,                   0,            0.008911,            0.008911,            0.008911
                  13,              2.0471,              2.2002,              1.6447,             0.42257,              0.5438,             0.49787,             0.20728,                   0,                   0,                   0,            0.008812,            0.008812,            0.008812
                  14,              2.0556,              2.1703,              1.6316,             0.52872,             0.43089,             0.46273,             0.19764,                   0,                   0,                   0,            0.008713,            0.008713,            0.008713
                  15,              2.0382,              2.0807,              1.6004,             0.57194,             0.38377,             0.40652,             0.17821,                   0,                   0,                   0,            0.008614,            0.008614,            0.008614
                  16,              1.9934,              2.0524,              1.5798,              0.4613,             0.51649,             0.48224,             0.21532,                   0,                   0,                   0,            0.008515,            0.008515,            0.008515
                  17,              2.0147,              1.9584,              1.6439,             0.46905,             0.44865,              0.4486,             0.20924,                   0,                   0,                   0,            0.008416,            0.008416,            0.008416
                  18,              2.0039,              1.9776,              1.6571,              0.5895,             0.44463,             0.47768,             0.21339,                   0,                   0,                   0,            0.008317,            0.008317,            0.008317
                  19,              2.0671,              1.9506,              1.5925,             0.61219,               0.483,             0.46495,             0.22632,                   0,                   0,                   0,            0.008218,            0.008218,            0.008218
                  20,              2.0475,              2.0098,              1.6244,              0.7372,             0.42353,             0.51394,             0.24026,                   0,                   0,                   0,            0.008119,            0.008119,            0.008119
                  21,              1.9348,              1.8385,              1.5891,             0.53676,             0.48267,             0.49953,             0.21482,                   0,                   0,                   0,             0.00802,             0.00802,             0.00802
                  22,              1.9357,              1.8418,              1.5751,             0.64515,             0.46008,             0.48766,             0.21303,                   0,                   0,                   0,            0.007921,            0.007921,            0.007921
                  23,              1.8817,              1.8306,               1.546,             0.58913,             0.50063,             0.54656,             0.22772,                   0,                   0,                   0,            0.007822,            0.007822,            0.007822
                  24,              1.9651,              1.8447,              1.5917,             0.62638,             0.48198,             0.49415,             0.21263,                   0,                   0,                   0,            0.007723,            0.007723,            0.007723
                  25,               1.934,              1.7324,              1.6033,             0.55782,             0.60085,             0.51239,             0.23854,                   0,                   0,                   0,            0.007624,            0.007624,            0.007624
                  26,              1.9197,              1.7238,              1.5667,             0.60334,             0.49158,             0.50588,             0.21327,                   0,                   0,                   0,            0.007525,            0.007525,            0.007525
                  27,              1.9573,              1.7752,              1.5893,              0.6067,              0.5736,             0.54388,             0.23679,                   0,                   0,                   0,            0.007426,            0.007426,            0.007426
                  28,              1.9064,              1.7015,              1.5533,             0.61562,             0.55896,             0.57921,             0.25334,                   0,                   0,                   0,            0.007327,            0.007327,            0.007327
                  29,               1.907,              1.6552,              1.5114,             0.75089,             0.54139,             0.62603,              0.2524,                   0,                   0,                   0,            0.007228,            0.007228,            0.007228
                  30,              1.9333,              1.7035,              1.5575,             0.65151,             0.41925,             0.52733,             0.22953,                   0,                   0,                   0,            0.007129,            0.007129,            0.007129
                  31,              1.8307,              1.6116,              1.5471,             0.69632,             0.55565,             0.59515,             0.25179,                   0,                   0,                   0,             0.00703,             0.00703,             0.00703
                  32,              1.8327,              1.5806,              1.5247,             0.61493,             0.55834,              0.5839,             0.24941,                   0,                   0,                   0,            0.006931,            0.006931,            0.006931
                  33,              1.8073,              1.4807,              1.4931,              0.6442,             0.47637,             0.51289,             0.20095,                   0,                   0,                   0,            0.006832,            0.006832,            0.006832
                  34,              1.8282,              1.6246,              1.5372,             0.73291,             0.50116,             0.57441,             0.24156,                   0,                   0,                   0,            0.006733,            0.006733,            0.006733
                  35,               1.836,              1.5523,               1.503,             0.58659,              0.5319,             0.54438,             0.23096,                   0,                   0,                   0,            0.006634,            0.006634,            0.006634
                  36,              1.7924,              1.5257,              1.5131,             0.71635,               0.478,             0.57974,             0.23521,                   0,                   0,                   0,            0.006535,            0.006535,            0.006535
                  37,              1.8204,              1.5452,              1.5188,              0.5571,             0.51886,             0.54872,             0.22061,                   0,                   0,                   0,            0.006436,            0.006436,            0.006436
                  38,              1.8077,              1.4904,              1.4986,             0.58243,             0.53471,             0.53351,             0.22358,                   0,                   0,                   0,            0.006337,            0.006337,            0.006337
                  39,              1.8079,              1.4904,              1.5443,              0.6998,             0.47736,             0.55487,             0.23221,                   0,                   0,                   0,            0.006238,            0.006238,            0.006238
                  40,              1.8186,              1.5519,              1.5562,             0.61947,             0.54486,             0.57583,             0.24834,                   0,                   0,                   0,            0.006139,            0.006139,            0.006139
                  41,              1.7545,              1.4925,              1.4896,             0.65566,             0.49359,             0.54375,             0.23363,                   0,                   0,                   0,             0.00604,             0.00604,             0.00604
                  42,              1.7328,               1.394,              1.4748,             0.73491,              0.4585,             0.54318,             0.22533,                   0,                   0,                   0,            0.005941,            0.005941,            0.005941
                  43,              1.7929,              1.4634,              1.5189,             0.59551,             0.44002,             0.50813,             0.23107,                   0,                   0,                   0,            0.005842,            0.005842,            0.005842
                  44,              1.7801,              1.4378,              1.5205,             0.78593,             0.50265,             0.58609,             0.25075,                   0,                   0,                   0,            0.005743,            0.005743,            0.005743
                  45,              1.7083,              1.3956,              1.4535,             0.61294,              0.4378,             0.47327,              0.2136,                   0,                   0,                   0,            0.005644,            0.005644,            0.005644
                  46,              1.7676,              1.4604,              1.4861,             0.63882,             0.48712,             0.53897,             0.20571,                   0,                   0,                   0,            0.005545,            0.005545,            0.005545
                  47,              1.7241,              1.3723,              1.5181,             0.56203,             0.57337,             0.59356,             0.27176,                   0,                   0,                   0,            0.005446,            0.005446,            0.005446
                  48,              1.6466,              1.3119,              1.4774,             0.70536,             0.47463,             0.57046,             0.23743,                   0,                   0,                   0,            0.005347,            0.005347,            0.005347
                  49,              1.6802,              1.2711,              1.4416,              0.5045,             0.57313,             0.56661,             0.24514,                   0,                   0,                   0,            0.005248,            0.005248,            0.005248
                  50,              1.6433,              1.3346,              1.4496,              0.6801,             0.48899,              0.5637,             0.22638,                   0,                   0,                   0,            0.005149,            0.005149,            0.005149
                  51,              1.6562,              1.2976,              1.4703,             0.65868,              0.5081,              0.5418,             0.21172,                   0,                   0,                   0,             0.00505,             0.00505,             0.00505
                  52,              1.6392,              1.3033,              1.4349,             0.52975,             0.54002,             0.50901,             0.21271,                   0,                   0,                   0,            0.004951,            0.004951,            0.004951
                  53,              1.6414,              1.2434,              1.4632,             0.59535,             0.45542,             0.50174,             0.20866,                   0,                   0,                   0,            0.004852,            0.004852,            0.004852
                  54,              1.6218,              1.2601,              1.4333,             0.55407,             0.53444,             0.52447,             0.21985,                   0,                   0,                   0,            0.004753,            0.004753,            0.004753
                  55,              1.6439,               1.282,              1.4468,             0.57628,             0.57369,             0.54675,             0.24128,                   0,                   0,                   0,            0.004654,            0.004654,            0.004654
                  56,              1.6106,              1.2091,              1.4045,             0.60983,             0.55643,             0.58873,             0.24043,                   0,                   0,                   0,            0.004555,            0.004555,            0.004555
                  57,              1.5501,              1.1823,               1.415,             0.58174,             0.54641,             0.54895,             0.23476,                   0,                   0,                   0,            0.004456,            0.004456,            0.004456
                  58,              1.5804,              1.2157,              1.4131,             0.57706,             0.54138,             0.53952,             0.22521,                   0,                   0,                   0,            0.004357,            0.004357,            0.004357
                  59,              1.5877,              1.1969,              1.4172,             0.53649,             0.54147,             0.55701,             0.24665,                   0,                   0,                   0,            0.004258,            0.004258,            0.004258
                  60,              1.5818,              1.1887,              1.4181,              0.6731,             0.43516,             0.52141,             0.23168,                   0,                   0,                   0,            0.004159,            0.004159,            0.004159
                  61,              1.5408,              1.1451,              1.3959,             0.58646,              0.5187,             0.53982,             0.25572,                   0,                   0,                   0,             0.00406,             0.00406,             0.00406
                  62,              1.5544,              1.1778,              1.3978,             0.59455,             0.48288,             0.52045,             0.24705,                   0,                   0,                   0,            0.003961,            0.003961,            0.003961
                  63,              1.5255,              1.1327,              1.4072,             0.58489,             0.55706,              0.5469,             0.23616,                   0,                   0,                   0,            0.003862,            0.003862,            0.003862
                  64,              1.5264,              1.1272,                1.37,             0.64801,             0.48204,             0.53932,             0.23783,                   0,                   0,                   0,            0.003763,            0.003763,            0.003763
                  65,               1.521,              1.1033,              1.3731,             0.60786,             0.54773,             0.53486,             0.24236,                   0,                   0,                   0,            0.003664,            0.003664,            0.003664
                  66,              1.4984,              1.0748,              1.3652,             0.59751,             0.57651,             0.57082,             0.24733,                   0,                   0,                   0,            0.003565,            0.003565,            0.003565
                  67,              1.4881,              1.0751,              1.3622,              0.6306,             0.49599,             0.54401,             0.26255,                   0,                   0,                   0,            0.003466,            0.003466,            0.003466
                  68,              1.5037,              1.1075,              1.3809,             0.62154,             0.54053,             0.54802,             0.26798,                   0,                   0,                   0,            0.003367,            0.003367,            0.003367
                  69,              1.4669,              1.1093,               1.351,             0.65734,             0.52292,             0.53558,              0.2504,                   0,                   0,                   0,            0.003268,            0.003268,            0.003268
                  70,              1.5535,              1.1425,              1.3942,             0.71042,              0.5283,             0.55147,             0.24653,                   0,                   0,                   0,            0.003169,            0.003169,            0.003169
                  71,              1.4372,               1.066,              1.3792,             0.65304,             0.51522,             0.53442,              0.2398,                   0,                   0,                   0,             0.00307,             0.00307,             0.00307
